ID,Year,Jaccard_B,Horn_B,Chao_B,Pearson_B
10,1992,0.554200038,0.970717018,0.993922753,0.871137495
10,1996,0.465794747,0.980150471,0.977313517,0.768992695
18,1931,0.658257655,0.964257515,0.970264203,0.895456483
18,1932,0.468147226,0.828871153,0.808833435,0.727217592
18,1933,0.459612405,0.818814261,0.783726845,0.679167252
18,1934,0.542792308,0.9103614,0.89846673,0.758768252
18,1935,0.443944858,0.819628208,0.837311986,0.698718772
18,1936,0.306596806,0.859296192,0.868226457,0.67589567
18,1937,0.40144776,0.787234327,0.80119585,0.660789005
18,1938,0.422251762,0.817477166,0.875351827,0.732988915
18,1939,0.429262867,0.795617613,0.865590578,0.723942239
18,1940,0.410029274,0.805502542,0.880080819,0.724575583
18,1941,0.360301596,0.838634322,0.8767454,0.741260919
18,1942,0.273462823,0.769587807,0.838460888,0.676382441
18,1945,0.330393299,0.751843798,0.845931394,0.705633503
18,1946,0.364046753,0.756173628,0.856158638,0.717480764
18,1947,0.359509005,0.739271319,0.868535889,0.709954784
18,1949,0.394314442,0.794422158,0.868231342,0.725351277
18,1950,0.382583056,0.805919881,0.849768985,0.708197968
18,1951,0.378702496,0.714812295,0.829386161,0.691719307
18,1952,0.360582767,0.67895439,0.8685323,0.716612332
18,1954,0.400480478,0.738053334,0.829494728,0.658918716
18,1955,0.342381211,0.71601461,0.820513262,0.621270957
18,1956,0.467935505,0.823071609,0.884858447,0.751146349
18,1957,0.547282861,0.892858118,0.952271728,0.824108681
18,1973,0.331706043,0.670506242,0.848615248,0.639800087
33,1993,0.126700527,0.979794166,0.978989214,0.630900953
33,1994,0.120098882,0.982918235,0.897143773,0.620282042
33,1995,0.216000246,0.999772009,0.99358714,0.529833707
33,1996,0.110038603,0.982642272,0.925340864,0.486036253
33,1997,0.093709065,0.971304357,0.898900078,0.442916058
33,1998,0.096112355,0.992490439,0.914803584,0.450308682
33,1999,0.091097177,0.990400236,0.957753107,0.585901462
33,2000,0.115201584,0.997409486,0.954840106,0.54827805
33,2001,0.095886156,0.981033235,0.89741662,0.518846475
33,2002,0.127537361,0.972462791,0.831782506,0.479707949
33,2003,0.173393178,0.99191414,0.965024898,0.523105251
33,2004,0.15694798,0.995581879,0.958141103,0.573799452
33,2005,0.119100852,0.991480732,0.950304993,0.472762761
33,2006,0.125293581,0.960392559,0.903678433,0.499044507
33,2007,0.146609725,0.991435631,0.934142534,0.488304911
33,2008,0.185892996,0.977373011,0.95842865,0.451503757
33,2009,0.160388843,0.977054121,0.961234264,0.456859047
39,1971,0.652061856,0.919702868,0.984722674,0.865703887
39,1972,0.594827586,0.937036724,0.981117148,0.83423504
39,1973,0.591006424,0.918007384,0.967766157,0.818484885
39,1974,0.528384279,0.856812459,0.980554242,0.800270417
39,1975,0.61928934,0.915197792,0.979784181,0.744147618
39,1976,0.579295154,0.864301768,0.974651978,0.849557994
39,1977,0.565701559,0.832028627,0.943037975,0.809236726
39,1978,0.55530474,0.821610591,0.950070602,0.798746785
39,1979,0.555837563,0.820534866,0.8762403,0.728989304
39,1980,0.503703704,0.767706798,0.863894366,0.707122155
39,1981,0.506527415,0.740774352,0.927226029,0.77218402
39,1982,0.4296875,0.657179013,0.948594663,0.539303339
39,1983,0.382352941,0.588545034,0.766156573,0.505507337
39,1984,0.373134328,0.587679706,0.696202532,0.570394815
41,1924,0.678362573,0.907456477,1,0.845721522
41,1926,0.608187135,0.873164866,0.946891878,0.734478156
